iso_a3,country,region,population_m,gdp_usd_bn,gdp_per_capita_usd
ETH,Ethiopia,Eastern Africa,112.07873,95.912,855.7555925196511
SSD,S. Sudan,Eastern Africa,11.062113,11.998,1084.6029144703186
SOM,Somalia,Eastern Africa,10.192317300000001,4.719,462.99578997604397
KEN,Kenya,Eastern Africa,52.573973,95.503,1816.5452323719192
MWI,Malawi,Eastern Africa,18.628747,7.666,411.51452644667944
TZA,Tanzania,Eastern Africa,58.005463,63.177,1089.1560334584349
MAR,Morocco,Northern Africa,36.471769,119.7,3281.990517103791
ESH,W. Sahara,Northern Africa,0.603253,0.907,1503.5151089178173
COG,Congo,Middle Africa,5.380508,12.267,2279.8962477149
COD,Dem. Rep. Congo,Middle Africa,86.790567,50.4,580.708269828448
NAM,Namibia,Southern Africa,2.49453,12.366,4957.246455244074
ZAF,South Africa,Southern Africa,58.55827,351.431,6001.389726848146
LBY,Libya,Northern Africa,6.777452,52.091,7685.926805531046
TUN,Tunisia,Northern Africa,11.694719,38.796,3317.394800165784
ZMB,Zambia,Eastern Africa,17.86103,23.309,1305.0199232631041
SLE,Sierra Leone,Western Africa,7.813215,4.121,527.439728716028
GIN,Guinea,Western Africa,12.771246,12.296,962.7878125595577
LBR,Liberia,Western Africa,4.937374,3.07,621.788019299328
CAF,Central African Rep.,Middle Africa,4.745185,2.22,467.84266577593917
SDN,Sudan,Northern Africa,42.813238,30.513,712.7001232656124
DJI,Djibouti,Eastern Africa,0.97356,3.324,3414.2733883890055
ERI,Eritrea,Eastern Africa,6.081196,2.065,339.5713606336648
CIV,Côte d'Ivoire,Western Africa,25.716544,58.539,2276.3167554707197
MLI,Mali,Western Africa,19.658031,17.279,878.9791815874133
SEN,Senegal,Western Africa,16.296364,23.578,1446.825807278237
NGA,Nigeria,Western Africa,200.963599,448.12,2229.856562232447
BEN,Benin,Western Africa,11.801151,14.39,1219.3725849283685
AGO,Angola,Middle Africa,31.825295,88.815,2790.7046894616374
BWA,Botswana,Southern Africa,2.303697,18.34,7961.116414181205
ZWE,Zimbabwe,Eastern Africa,14.645468,21.44,1463.9340989308091
TCD,Chad,Middle Africa,15.946876,11.314,709.4806531385834
DZA,Algeria,Northern Africa,43.053054,171.091,3973.9573410982644
MOZ,Mozambique,Eastern Africa,30.366036,15.291,503.55601238172807
SWZ,eSwatini,Southern Africa,1.14813,4.471,3894.1583270187175
BDI,Burundi,Eastern Africa,11.53058,3.012,261.2184296019801
RWA,Rwanda,Eastern Africa,12.62695,10.354,819.9921596268299
UGA,Uganda,Eastern Africa,44.269594,35.165,794.3375310828466
LSO,Lesotho,Southern Africa,2.125268,2.376,1117.976650474199
CMR,Cameroon,Middle Africa,25.87638,39.007,1507.4365115986084
GAB,Gabon,Middle Africa,2.172579,16.874,7766.806178279363
NER,Niger,Western Africa,23.310715,12.911,553.8654648731281
BFA,Burkina Faso,Western Africa,20.321378,15.99,786.8560882042547
TGO,Togo,Western Africa,8.082366,5.49,679.2565444326575
GHA,Ghana,Western Africa,30.417856,66.983,2202.0947169978053
GNB,Guinea-Bissau,Western Africa,1.920922,1.339,697.0610987848544
EGY,Egypt,Northern Africa,100.388073,303.092,3019.203287227159
MRT,Mauritania,Western Africa,4.525696,7.6,1679.2997143422801
GNQ,Eq. Guinea,Middle Africa,1.355986,11.026,8131.352388593982
GMB,Gambia,Western Africa,2.347706,1.826,777.7805227741463
MDG,Madagascar,Eastern Africa,26.969307,14.114,523.3356570860349
